image_id,image_path,label
patch-0-0-25-25-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-0-25-25-#SK1070_combined.tif#.png,wall
patch-0-100-25-125-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-100-25-125-#SK1070_combined.tif#.png,wall
patch-0-1000-25-1025-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-1000-25-1025-#SK1070_combined.tif#.png,wall
patch-0-1025-25-1050-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-1025-25-1050-#SK1070_combined.tif#.png,wall
patch-0-1050-25-1075-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-1050-25-1075-#SK1070_combined.tif#.png,wall
patch-0-1075-25-1100-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-1075-25-1100-#SK1070_combined.tif#.png,no_wall
patch-0-1100-25-1125-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-1100-25-1125-#SK1070_combined.tif#.png,no_wall
patch-0-1125-25-1150-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-1125-25-1150-#SK1070_combined.tif#.png,no_wall
patch-0-1150-25-1175-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-1150-25-1175-#SK1070_combined.tif#.png,wall
patch-0-1175-25-1200-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-1175-25-1200-#SK1070_combined.tif#.png,wall
patch-0-1200-25-1225-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-1200-25-1225-#SK1070_combined.tif#.png,wall
patch-0-1225-25-1250-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-1225-25-1250-#SK1070_combined.tif#.png,no_wall
patch-0-125-25-150-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-125-25-150-#SK1070_combined.tif#.png,no_wall
patch-0-1250-25-1275-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-1250-25-1275-#SK1070_combined.tif#.png,no_wall
patch-0-1275-25-1300-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-1275-25-1300-#SK1070_combined.tif#.png,no_wall
patch-0-1300-25-1325-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-1300-25-1325-#SK1070_combined.tif#.png,no_wall
patch-0-1325-25-1350-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-1325-25-1350-#SK1070_combined.tif#.png,wall
patch-0-1350-25-1375-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-1350-25-1375-#SK1070_combined.tif#.png,no_wall
patch-0-1375-25-1400-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-1375-25-1400-#SK1070_combined.tif#.png,no_wall
patch-0-1400-25-1425-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-1400-25-1425-#SK1070_combined.tif#.png,wall
patch-0-1425-25-1450-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-1425-25-1450-#SK1070_combined.tif#.png,no_wall
patch-0-1450-25-1475-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-1450-25-1475-#SK1070_combined.tif#.png,wall
patch-0-1475-25-1492-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-1475-25-1492-#SK1070_combined.tif#.png,wall
patch-0-150-25-175-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-150-25-175-#SK1070_combined.tif#.png,no_wall
patch-0-175-25-200-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-175-25-200-#SK1070_combined.tif#.png,no_wall
patch-0-200-25-225-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-200-25-225-#SK1070_combined.tif#.png,no_wall
patch-0-225-25-250-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-225-25-250-#SK1070_combined.tif#.png,no_wall
patch-0-25-25-50-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-25-25-50-#SK1070_combined.tif#.png,no_wall
patch-0-250-25-275-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-250-25-275-#SK1070_combined.tif#.png,no_wall
patch-0-275-25-300-#SK1070_combined.tif#.png,c:\Users\alexad\Documents\GitHub\cnn-boundaries\content\tifs\patches\patch-0-275-25-300-#SK1070_combined.tif#.png,no_wall
